Author,Title,Class Number,Class Name,Quarter,Year,Descriptors,Location,
"Bee, James William",A preliminary report of the ecology of False Bay,Zoology 533,Advanced Invertebrate Zoology,Summer,1949,Macoma; Transennella tantilla; Rochefortia tumida,"False Bay, San Juan Island",
"Comita, Gabriel W.",Copepod commensals of pelecypods,Zoology 533,Advanced Invertebrate Zoology,Summer,1949,Paranthessius; Schizothaerus; Herrmannella finmarchica,,
"Comita, Gabriel W.",A list of the common molluscs collected during the Summer session of 1949,Zoology 533,Advanced Invertebrate Zoology,Summer,1949,,,
"Dunn, Margaret E.",Parasitic Cirripedia and Isopoda infesting shrimp collected in the vicinity of San Juan Island,Zoology 225,Advanced Invertebrate Zoology,Summer,1949,Mycetomorpha; Sylon; Spirontocaris moseri,San Juan Island,
"Oldenborg, Elizabeth A",Some errant polychaetes of Friday Harbor area,Zoology 225,Advanced Invertebrate Zoology,Summer,1949,,Friday Harbor,
"Oldenborg, Elizabeth",Studies in regeneration in polychaete worms,Zoology 225,Advanced Invertebrate Zoology,Summer,1949,"Eudistylia polymorpha; Serpula vermicularis
",,
"Annan, Murvel E.",A study of the fauna of Jones' Beach,Zoology 533,Advanced Invertebrate Zoology,Summer,1950,Macoma; Protothaca staminea,"Jones' Beach, San Juan Island",
"Arny, Samuel A.","Some notes on the movements of two species of littorine snails, Littorina sitchana and Littorina scutulata",Zoology 533,Advanced Invertebrate Zoology,Summer,1950,"Littorina sitkana; Littorina scutulata
",,
"Barkas, Earl H.",Intertidal pelecypods of Argyle Lagoon and adjacent beaches,Zoology 533,Advanced Invertebrate Zoology,Summer,1950,Upogebia; Bankia; Rochefortia,"Argyle Lagoon, San Juan Island",
"Bell, G. Mary",Some Phoronida of Puget Sound,Zoology 533,Advanced Invertebrate Zoology,Summer,1950,"Phoronis; Phoronopsis
",Puget Sound,
"Hickok, John F.",A study of the commensal relationship of the polychaete Halosydna brevisetosa Kinberg and its host Amphitrite robusta Johnson,Zoology 233,Advanced Invertebrate Zoology,Summer,1950,Halosydna brevisetosa; Amphitrite robusta; Eupolymnia,,
"Knight, Patricia F.",Characteristics for the separation of the species in the genus Strongylocentrotus Brandt,Zoology 533,Advanced Invertebrate Zoology,Summer,1950,Strongylocentrotus droebachiensis; Strongylocentrotus purpuratus; Strongylocentrotus franciscanus,,
"Krogstad, Blanchard",A collection of the amphipods of the San Juan Islands and vicinity with records of their occurrence and color in nature,Zoology 533,Advanced Invertebrate Zoology,Summer,1950,Melita dentata; Paragrubia uncinata; Parallorchestes,San Juan Islands,
"MacPhee, Chris",Holothurians of the genus Cucumaria collected in the San Juan Islands in the Summer of 1950,Zoology 533,Advanced Invertebrate Zoology,Summer,1950,Cucumaria populifera; Cucumaria miniata; Cucumaria,San Juan Islands,
"Plumb, Marjorie","Some identification and life history studies of Aglaja, a tectibranch of San Juan Island, Washington",Zoology 233,Advanced Invertebrate Zoology,Summer,1950,Aglaja; Philine; Aglaja diomedea,San Juan Island,
"Tiner, Jack D.",Observations on the marine free-living nematodes of the San Juan Islands,Zoology 233,Advanced Invertebrate Zoology,Summer,1950,,San Juan Islands,
"Wellings, S.R.","Observations on the vertical distribution and constancy of position of four species of Acmaea at Friday Harbor, Washington",Zoology 233,Advanced Invertebrate Zoology,Summer,1950,Acmaea,Brown Island; Friday Harbor,
"Bowes, Pat",A brief survey of the commensals and parasites of the collenterata,Zoology 533,Advanced Invertebrate Zoology,Summer,1951,Hydrozoa; Scyphozoa; Anthozoa,,
"Clark, David T.",Some larval trematodes from the vicinity of Friday Harbor,Zoology 533,Advanced Invertebrate Zoology,Summer,1951,Cytopherous cercaria; Thais emarginata; Thais lamellosa,Friday Harbor,
"Finucane, John H.",Observations on Schizothaerus nuttallii nuttallii (Conrad) and Schizothaerus nuttallii capax (Gould),Zoology 533,Advanced Invertebrate Zoology,Summer,1951,"Schizothaerus nuttallii nuttallii; Schizothaerus nuttallii capax; Lumbrineris brevicirra
",,
"Hand, C.",Comments on report of D.A. James on Sea Anemones of San Juan Islands,Zoology 533,Advanced Invertebrate Zoology,Summer,1951,,San Juan Islands,
"Judson, Charles L.",A guide to the genus Cucumaria of Friday Harbor and adjacent areas,Zoology 533,Advanced Invertebrate Zoology,Summer,1951,Cucumaria; Holothurian,Friday Harbor,
"Karlstrom, Ernest L.",Intraspecific variation in Dendraster excentricus Eschcholtz from two localities in the San Juan Islands,Zoology 533,Advanced Invertebrate Zoology,Summer,1951,Dendraster excentricus,"False Bay, San Juan Island; Crescent Beach, Orcas Island",
"Norton, John R.",A taxonomic study of the family Calyptraeidae of the waters of the San Juan archipelago and vicinity,Zoology 533,Advanced Invertebrate Zoology,Summer,1951,"Calyptraeidae
",San Juan Islands,
"Schoenig, Enrique H.",A study of the influence of ecological factors upon the form and density of the shells of three species of Acmaea,Zoology 533,Advanced Invertebrate Zoology,Summer,1951,Acmaea persona; Acmaea pelta; Acmaea scutum,,
"Snyder, Richard C","A preliminary key to the Tunicates of the Friday Harbor, Washington, region",Zoology 533,Advanced Invertebrate Zoology,Summer,1951,,Friday Harbor,
"Webb, Olin L","A contribution to the natural history of the beach hopper, Orchestia triskiana Stimpson",Zoology 533,Advanced Invertebrate Zoology,Summer,1951,"Orchestia traskiana
",,
"Eschenberg, K.",On the symbiotic relationships of holothurians of the Friday Harbor region,Zoology 533,Advanced Invertebrate Zoology,Summer,1952,Cucumaria; Stichopus californicus; Leptosynapta,Friday Harbor,
"Foreman, Margaret H.",An experimental study of evisceration in holothurians,Zoology 533,Advanced Invertebrate Zoology,Summer,1952,,,
