Reviewed?,author,year,title,class,type,location,city,photographs.maps,quantitative,qualitative.rank,presence.absence only,notes on data,year.start,subtidal/intertidal,habitat,subset.community,library.web,journal/agency,sourced.from,source,purpose of the paper,years.sampled,count.sampled,frequency.transect,length.transect,frequency.quadrat,size.quadrat,other.methods,original.repeat,repeat.paper,repeatability: a) high quality taxonomy; (b) quantitative; (c) replicated; (d) seasonal É (e) more than one site? (f) annual - multiple years,a,b,c,d,sum.repeat,temp.water,salinity,other.physical,notes,,,,,,,,,,,
,"Koford, Carl",1947-A,The fishes of the intertidal zone of Monterey Peninsula and vicinity,University of California Berkley - Zoology112/212,Hopkins Summer Student Paper,"Carmel Cove, Asilomar Rocks, Mussel Point, Pescadero Point, Point Pinos","Carmel, Hopkins, Pacific Grove",Drawings of the fish for taxinomic identification,0,1,,"relative fish abundance (common,rare), counts as well for each tidal zone, associated algae and invert names included",1947,Intertidal,Rocky intertidal,Fish Community,https://searchworks.stanford.edu/?page=6&q=%22Hopkins+Marine+Station+student+papers+collection.%22&search_field=search,Student Paper,Hopkins Spring Student Paper,Library,What fish are in the intertidal zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Baldwin, Paul H.",1947-B,A survey of the plankton of Monterey Bay.,University of California Berkley - Zoology112/213,Hopkins Summer Student Paper,Monterey Bay,Monterey,No,0,1,,"Occurance and relative abundance of plankton, then qualified from abundant - rare",1947,Subtidal,Open water,Plankton Community,https://searchworks.stanford.edu/?page=6&q=%22Hopkins+Marine+Station+student+papers+collection.%22&search_field=search,Student Paper,Hopkins Spring Student Paper,Library,What plankton are in Monterey Bay,,,"4 times a week, one month",5 tows,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Frazier, Ralph P.",1947-B,"A survey of the gastropoda of Mytilus californianus communities on Mussel Point, California",University of California Berkley - Zoology112/229,Hopkins Summer Student Paper,Mussel Point,Hopkins,Schematic of sampling plan,,,,,1947,,,,HMS-student,Student Paper,Hopkins Spring Student Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Goff, Richard A",1947-B,Macrofauna in Pelvetia beds,University of California Berkley - Zoology112/214,Hopkins Summer Student Paper,"Mussel Point, followed by less extensive searches at carmel cove, asilomar rocks and point pinos","Carmel, Hopkins, Pacific Grove",Pelvetia beds at Mussel Point,0,1,,occurance and qual. Abundance (abundant-rare),1947,Intertidal,Rocky intertidal,Pelvetia Community,https://searchworks.stanford.edu/?page=6&q=%22Hopkins+Marine+Station+student+papers+collection.%22&search_field=search,Student Paper,Hopkins Spring Student Paper,Library,What invertebrates are found in Pelvetia beds?,,,,Random in mussel cove,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Haderlie, E. C",1947-B,The biology of a high isolated tide pool,University of California Berkley - Zoology112/215,Hopkins Summer Student Paper,Mussel Point,Hopkins,"Aerial and cross section drawings of tidepool, drawing of urchin in crevise ",1,0,,abundance data,1947,Intertidal,Rocky intertidal,Tidepool Community,http://aquaticcommons.org/2869/,Student Paper,Hopkins Spring Student Paper,Library,How various animals live and behave in a high tidepool,no,,Everyday for three weeks,Single tidepool,na,na,,original,,b,,,,,,"yes, ocean and tidepool",no,,,,,,,,,,,,,
,"Hand, Cadet",1947-B,The distribution of cirripeds and gastropods on plain vertical rock surfaces in the upper intertidal and splash zones,University of California Berkley - Zoology112/216,Hopkins Summer Student Paper,Mussel Point,Hopkins,"Diagram of sample sites - areal and profile views, Figure/plot of sample height using organism illustrations instead of points",1,0,,"abundances of 6 molluscs, individual counts for each quadrat with no species info, lists of all species found with no abundnace",1947,Intertidal,Rocky intertidal,"gastropods, cirripeds",https://searchworks.stanford.edu/?page=6&q=%22Hopkins+Marine+Station+student+papers+collection.%22&search_field=search,Student Paper,Hopkins Spring Student Paper,Library,,,,,6 inch by 7 ft,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Howell, Milton M.",1947-B,A comparison of the fauna of the exposed and protected faces of a rock,University of California Berkley - Zoology112/217,Hopkins Summer Student Paper,Cabrillo point,Hopkins,"map of rock studied areal and profile views, picture of the rock",1,0,,abundance data,1947,Intertidal,Rocky intertidal,Rocky intertidal commuity,https://searchworks.stanford.edu/?page=6&q=%22Hopkins+Marine+Station+student+papers+collection.%22&search_field=search,Student Paper,Hopkins Spring Student Paper,Library,,,,,"6 plots, 3 exposed, 3 protected",,,,,,,,,,,,,,,,,,,,,,,,,,
,"Kaplan, William D",1947-B,"A preliminary analysis of the major plant and sessile animal communities of the rocky intertidal zone of the Monterey Peninsula, California",University of California Berkley - Zoology112/218,Hopkins Summer Student Paper,multiple,Monterey Peninsula,"Drawing of species across tidal heights with illustrations,",0,1,,"describes species, some abundances qualitatively described, - relative abundance (common to rare) of the most common intertidal algae and their distribution in the intertidal (tide height",1947,Intertidal,Rocky intertidal,Plant and Invert Community,https://searchworks.stanford.edu/?page=6&q=%22Hopkins+Marine+Station+student+papers+collection.%22&search_field=search,Student Paper,Hopkins Spring Student Paper,Library,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Kutsky, Roman J and Woodbury, Dixon M",1947-B,A comparative study of the phyllospadix community,University of California Berkley - Zoology112/219,Hopkins Summer Student Paper,"Hopkins, Asilomar Rocks, Pescadero  Point, Carmel Cove","Carmel, Hopkins, Pacific Grove",Diagram of Point Pinos seagass and animal locations therein,1,1,,"relative abundance of taxa (amphipods, gastropods, etc), abundance of species at each site, abundnaces of species found in phylospadix roots and blades",1947,Intertidal,Rocky intertidal,Phyllospadix Community,https://searchworks.stanford.edu/?page=6&q=%22Hopkins+Marine+Station+student+papers+collection.%22&search_field=search,Student Paper,Hopkins Spring Student Paper,Library,,,,,"?, 6 pointsÉ",,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mallory, V. Standish.",1947-B,The faunal survey of a zone 3 tidepool,University of California Berkley - Zoology112/220,Hopkins Summer Student Paper,Mussel Point,Hopkins,"map of monterey region and communities sampled, illustration of Point Pinos seagrass with locations of species sampled therein",1,0,,littorina abundance,1947,Intertidal,Rocky intertidal,Tidepool Community,https://searchworks.stanford.edu/?page=6&q=%22Hopkins+Marine+Station+student+papers+collection.%22&search_field=search,Student Paper,Hopkins Spring Student Paper,Library,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,
