"","ID","Author","Title","ClassNumber","ClassName","Quarter","Year","Descriptors","Location","Ecological","Intertidal","Invert","Algae","Repeatable","saved papers","Experimental","Map","Raw data","GroupNames","X20"
"1",2,"Comita, Gabriel W.","Copepod commensals of pelecypods","Zoology 533","Advanced Invertebrate Zoology","Summer",1949,"Paranthessius; Schizothaerus; Herrmannella finmarchica",NA,1,1,1,0,1,NA,NA,NA,NA,"Jamie, Jessica, Kia",NA
"2",5,"Oldenborg, Elizabeth A","Some errant polychaetes of Friday Harbor area","Zoology 225","Advanced Invertebrate Zoology","Summer",1949,NA,"Friday Harbor",1,1,1,0,1,NA,NA,NA,NA,"Jamie, Jessica, Kia",NA
"3",6,"Oldenborg, Elizabeth","Studies in regeneration in polychaete worms","Zoology 225","Advanced Invertebrate Zoology","Summer",1949,"Eudistylia polymorpha; Serpula vermicularis",NA,1,1,1,0,1,NA,NA,NA,NA,"Jamie, Jessica, Kia",NA
"4",7,"Annan, Murvel E.","A study of the fauna of Jones' Beach","Zoology 533","Advanced Invertebrate Zoology","Summer",1950,"Macoma; Protothaca staminea","Jones' Beach, San Juan Island",1,1,1,0,1,NA,NA,NA,NA,"Jamie, Jessica, Kia",NA
"5",8,"Arny, Samuel A.","Some notes on the movements of two species of littorine snails, Littorina sitchana and Littorina scutulata","Zoology 533","Advanced Invertebrate Zoology","Summer",1950,"Littorina sitkana; Littorina scutulata",NA,1,1,1,0,1,"jamie",NA,NA,NA,"Jamie, Jessica, Kia",NA
"6",9,"Barkas, Earl H.","Intertidal pelecypods of Argyle Lagoon and adjacent beaches","Zoology 533","Advanced Invertebrate Zoology","Summer",1950,"Upogebia; Bankia; Rochefortia","Argyle Lagoon, San Juan Island",1,1,1,0,1,"K",NA,NA,NA,"Jamie, Jessica, Kia",NA
"7",10,"Bell, G. Mary","Some Phoronida of Puget Sound","Zoology 533","Advanced Invertebrate Zoology","Summer",1950,"Phoronis; Phoronopsis","Puget Sound",1,1,1,0,1,NA,NA,NA,NA,"Jamie, Jessica, Kia",NA
"8",12,"Knight, Patricia F.","Characteristics for the separation of the species in the genus Strongylocentrotus Brandt","Zoology 533","Advanced Invertebrate Zoology","Summer",1950,"Strongylocentrotus droebachiensis; Strongylocentrotus purpuratus; Strongylocentrotus franciscanus",NA,1,1,1,0,1,"Jamie, K",NA,NA,NA,"Jamie, Jessica, Kia",NA
"9",13,"Krogstad, Blanchard","A collection of the amphipods of the San Juan Islands and vicinity with records of their occurrence and color in nature","Zoology 533","Advanced Invertebrate Zoology","Summer",1950,"Melita dentata; Paragrubia uncinata; Parallorchestes","San Juan Islands",1,1,1,0,1,"jamie: for how salty it is",NA,NA,NA,"Jamie, Jessica, Kia",NA
"10",14,"MacPhee, Chris","Holothurians of the genus Cucumaria collected in the San Juan Islands in the Summer of 1950","Zoology 533","Advanced Invertebrate Zoology","Summer",1950,"Cucumaria populifera; Cucumaria miniata; Cucumaria","San Juan Islands",1,1,1,0,0.5,NA,NA,NA,NA,"Jamie, Jessica, Kia",NA
"11",16,"Tiner, Jack D.","Observations on the marine free-living nematodes of the San Juan Islands","Zoology 233","Advanced Invertebrate Zoology","Summer",1950,NA,"San Juan Islands",1,1,1,0,1,NA,NA,NA,NA,"Jamie, Jessica, Kia",NA
"12",17,"Wellings, S.R.","Observations on the vertical distribution and constancy of position of four species of Acmaea at Friday Harbor, Washington","Zoology 233","Advanced Invertebrate Zoology","Summer",1950,"Acmaea","Brown Island; Friday Harbor",1,1,1,0,1,"intertidal distribution of snails, K",NA,NA,NA,"Jamie, Jessica, Kia",NA
"13",18,"Bowes, Pat","A brief survey of the commensals and parasites of the collenterata","Zoology 533","Advanced Invertebrate Zoology","Summer",1951,"Hydrozoa; Scyphozoa; Anthozoa",NA,1,1,1,0,0.5,NA,NA,NA,NA,"Jamie, Jessica, Kia",NA
"14",23,"Karlstrom, Ernest L.","Intraspecific variation in Dendraster excentricus Eschcholtz from two localities in the San Juan Islands","Zoology 533","Advanced Invertebrate Zoology","Summer",1951,"Dendraster excentricus","False Bay, San Juan Island; Crescent Beach, Orcas Island",1,1,1,0,1,NA,0,0,1,"Jamie, Jessica, Kia",NA
"15",24,"Norton, John R.","A taxonomic study of the family Calyptraeidae of the waters of the San Juan archipelago and vicinity","Zoology 533","Advanced Invertebrate Zoology","Summer",1951,"Calyptraeidae","San Juan Islands",1,1,1,0,0.5,NA,0,0,0,"Jamie, Jessica, Kia",NA
"16",25,"Schoenig, Enrique H.","A study of the influence of ecological factors upon the form and density of the shells of three species of Acmaea","Zoology 533","Advanced Invertebrate Zoology","Summer",1951,"Acmaea persona; Acmaea pelta; Acmaea scutum",NA,1,1,1,0,1,"good study",0,0,1,"Jamie, Jessica, Kia",NA
"17",26,"Snyder, Richard C","A preliminary key to the Tunicates of the Friday Harbor, Washington, region","Zoology 533","Advanced Invertebrate Zoology","Summer",1951,NA,"Friday Harbor",1,1,1,0,0.5,NA,0,0,0,"Jamie, Jessica, Kia",NA
"18",27,"Webb, Olin L","A contribution to the natural history of the beach hopper, Orchestia triskiana Stimpson","Zoology 533","Advanced Invertebrate Zoology","Summer",1951,"Orchestia traskiana",NA,1,1,1,1,1,NA,1,0,0,"Jamie, Jessica, Kia",NA
"19",28,"Eschenberg, K.","On the symbiotic relationships of holothurians of the Friday Harbor region","Zoology 533","Advanced Invertebrate Zoology","Summer",1952,"Cucumaria; Stichopus californicus; Leptosynapta","Friday Harbor",1,1,1,0,0.5,NA,0,0,1,"Jamie, Jessica, Kia",NA
"20",30,"Goodman, Donald Charles","An ecological variation in the number of interambulacral plates in Strongylocentrotus droebachiensis (O. Fr. Muller)","Zoology 533","Advanced Invertebrate Zoology","Summer",1952,"Strongylocentrotus droebachiensis; Strongylocentrotus; Temnopleurus",NA,1,1,1,0,1,NA,0,0,1,"Jamie, Jessica, Kia",NA
"21",31,"Lauff, G.H.","A faunal study of wharf pilings on San Juan Island, Washington","Zoology 533","Advanced Invertebrate Zoology","Summer",1952,NA,"San Juan Island",1,1,1,1,1,"!!!! super cool jamie",0,1,0,"Jamie, Jessica, Kia",NA
"22",32,"Yowell, H.","A study of barnacle distribution","Zoology 533","Advanced Invertebrate Zoology","Summer",1952,"Balanus glandula; Balanus cariosus","Turn Point, San Juan Island",1,1,1,0,0.5,NA,0,1,0,"Jamie, Jessica, Kia",NA
"23",33,"Anderson, G.C.","A study of some ecological factors in tide pools","Zoology 533","Advanced Invertebrate Zoology","Summer",1953,NA,"Mar Vista, San Juan Island",1,1,1,0,1,"cool",0,0,1,"Jamie, Jessica, Kia",NA
"24",34,"Anderson, Sydney","Some observations of the numbers and distribution of common intertidal animals at Friday Harbor, Washington","Zoology 533","Advanced Invertebrate Zoology","Summer",1953,"Balanus; Littorina; Acmaea","Friday Harbor",1,1,1,0,1,"jamie",1,0,1,"Jamie, Jessica, Kia",NA
"25",36,"Engstrom, Verna Louise","The vertical distribution of several common intertidal invertebrates on a rocky shore","Zoology 533","Advanced Invertebrate Zoology","Summer",1953,"Acmaea; Littorina scutulata","Brown Island",1,1,1,0,1,NA,0,1,1,"Jamie, Jessica, Kia",NA
"26",38,"Heck, Oscar B.","A study of the zonation of some animals on an exposed rocky point","Zoology 533","Advanced Invertebrate Zoology","Summer",1953,"mytilus; littorina; acmaea","Mar Vista",1,1,1,0,1,"see also id 34",0,0,0,"Jamie, Jessica, Kia",NA
"27",40,"Russell, Robert J.","Notes on the ecological distribution and commensals of hermit crabs in the San Juan Islands","Zoology 533","Advanced Invertebrate Zoology","Summer",1953,NA,"San Juan Islands",1,1,1,0,0.5,NA,0,0,0,"Jamie, Jessica, Kia",NA
"28",41,"Stains, Howard J.","The marking of sea urchins of the genus Strongylocentrotus in a study of their movement","Zoology 533","Advanced Invertebrate Zoology","Summer",1953,"Strongylocentrotus droebachiensis; Strongylocentrotus purpuratus",NA,1,1,1,0,1,NA,1,1,1,"Jamie, Jessica, Kia",NA
"29",42,"Tucker, Marie","A study of the terebellid polychaetes of the Friday Harbor region","Zoology 533","Advanced Invertebrate Zoology","Summer",1953,NA,"Friday Harbor",1,1,1,1,0.5,NA,0,0,0,"Jamie, Jessica, Kia",NA
"30",47,"Clogston, Fred L.","Preliminary survey of the fauna living directly upon Zostera marina (Linne) in the San Juan Island-Puget Sound Region; with notes on seasonal variations","Zoology 533","Advanced Invertebrate Zoology","Summer",1954,"Zostera marina","Brown Island; False Bay, San Juan Island; Argyle Lagoon, San Juan Island",1,1,1,1,1,NA,NA,NA,NA,"Jamie, Jessica, Kia",NA
"31",52,"Malcolm, David R.","Resistance to desiccation and submergence as correlated to the zonal distribution of three species of intertidal snails","Zoology 533","Advanced Invertebrate Zoology","Summer",1954,"Littorina scutulata; Littorina sitkana; Thais lamellosa",NA,0.5,1,1,0,1,NA,NA,NA,NA,"Jamie, Jessica, Kia",NA
"32",53,"Nydegger, LeRoy B.","Observations on the behavior of Schizobranchia insignis Bush","Zoology 533","Advanced Invertebrate Zoology","Summer",1954,"Schizobranchia insignis; Sabella pavonina; Pseudopotamilla occelata; Potamilla occelata",NA,1,1,1,0,1,NA,NA,NA,NA,"Jamie, Jessica, Kia",NA
"33",57,"Gillespie, Walter L.","A comparison of tide pools on limestone and ""igneous"" rock","Zoology 533","Advanced Invertebrate Zoology","Summer",1955,NA,NA,1,1,1,0,1,NA,NA,NA,NA,"Jamie, Jessica, Kia",NA
"34",58,"Heinsohn, George E.","A comparative study of some tide pools at Kanaka Point","Zoology 533","Advanced Invertebrate Zoology","Summer",1955,NA,"Kanaka Point",1,1,1,1,1,NA,NA,NA,NA,"Jamie, Jessica, Kia",NA
"35",59,"Throckmorton, Lynn H.","A comparison of the fauna found and its distribution on two beaches in the region of False Bay","Zoology 533","Advanced Invertebrate Zoology","Summer",1955,NA,"False Bay, San Juan Island",1,1,1,0,1,NA,NA,NA,NA,"Jamie, Jessica, Kia",NA
"36",60,"West, George C.","Comparison of the fauna and flora on limestone and ""igneous"" rock","Zoology 533","Advanced Invertebrate Zoology","Summer",1955,NA,NA,1,1,1,0,1,NA,NA,NA,NA,"Jamie, Jessica, Kia",NA
"37",61,"Chammek, Ard","Eel grass (Zostera) and the organisms associated with it at Argyle Lagoon","Zoology 533","Advanced Invertebrate Zoology","Summer",1955,"Zostera","Argyle Lagoon, San Juan Island",1,1,1,0,0.5,NA,NA,NA,NA,"Jamie, Jessica, Kia",NA
"38",63,"Schinske, Robert","The fauna and ecology of Argyle Creek","Zoology 533","Advanced Invertebrate Zoology","Summer",1956,NA,"Argyle Creek, San Juan Island",1,1,1,0,1,NA,NA,NA,NA,"Jamie, Jessica, Kia",NA
"39",66,"Jones, Laurence G.","A study of the chitons of San Juan Island and vicinity","Zoology 533","Advanced Invertebrate Zoology","Summer",1957,NA,"San Juan Island",1,1,1,0,1,"kia",NA,NA,NA,"Jamie, Jessica, Kia",NA
"40",70,"Willing, E.S., Jr.","A special marine environment created by Argyle Lagoon, San Juan Island","Zoology 533","Advanced Invertebrate Zoology","Summer",1957,NA,"Argyle Lagoon, San Juan Island",1,1,1,1,0.5,NA,0,1,0.5,"Jamie, Jessica, Kia",NA
"41",74,"Paris, O.H., Jr.","Predation in Balanus-Mytilus communities","Zoology 533","Advanced Invertebrate Zoology","Summer",1958,"Thais canaliculata; Mytilus edulis; Balanus",NA,1,1,1,0,1,NA,0,0,0,"Jamie, Jessica, Kia",NA
"42",75,"Stanley, Hugh P.","Problems of larval settlement at Friday Harbor","Zoology 533","Advanced Invertebrate Zoology","Summer",1958,NA,"Friday Harbor",0.5,1,1,0,1,NA,1,1,1,"Jamie, Jessica, Kia",NA
"43",78,"Willis, Edwin","A study of sand-dwelling polychaetes in False Bay, Washington","Zoology 533","Advanced Invertebrate Zoology","Summer",1958,"Rhynchospio arenincola; Polydora; Notomastus tenuis","False Bay, San Juan Island",1,1,1,0,1,NA,0,1,1,"Jamie, Jessica, Kia",NA
"44",84,"Salli, Arne J.","Observations on the behavior of hermit crabs","Zoology 533","Advanced Invertebrate Zoology","Summer",1959,"Thais lamellosa; Pagurus granosimanus; Balanus cariosus",NA,1,1,1,0,1,NA,NA,NA,NA,"Jamie, Jessica, Kia",NA
"45",85,"Stewart, Glenn R.","Osmoregulation in the sphaeromid isopods from brackish water at False Bay","Zoology 533","Advanced invertebrate zoology","Summer",1959,"Sphaeroma oregonensis; Gnorimosphaeroma","False Bay, San Juan Island",1,1,1,0,1,NA,NA,NA,NA,"Jamie, Jessica, Kia",NA
"46",87,"Urban, Emil K.","Remarks on the vertical intertidal distribution of Littorina in the San Juan archipelago","Zoology 533","Advanced invertebrate zoology","Summer",1959,"Littorina","San Juan Islands",1,1,1,0,1,NA,NA,NA,NA,"Jamie, Jessica, Kia",NA
