Transect,Quadrat,Distance_on_transect,Day_surveyed,Month_surveyed,Year_surveyed,Acrosiphonia_coalita,Alaria_marginata,Antithamnionella_pacifica,Bossiella_sp.,Calliarthron_regenerans,Caloplaca,Cryptosiphonia_woodii,Desmarestia_viridis,Egregia_menziesii,Endocladia_muricata,Fucus_distichus,Halosaccion_glandiforme,Goniomophyllum scottsbergii,Hildenbrandia_sp.,Hymanena_sp.,Leathesia_marina,Lithothamnion_sp.,Mastocarpus_papillatus,Mazzaella_splendens,Microcladia_coulteri,Neorhodomela_sp.,Odonthalia_floccosa,Petrocelis,Phyllospadix_scouleri,Polysiphonia_collinsii,Porphyra_norrisii,Prasiola_meridionalis,Prionitis_lyalii,Pterosiphonia_bipinnata,Pyropia_sp.,Ralfsia_ pacifica,Saccharina_sessilis,Sargassum_muticum,Ulva_sp.
4,17,17,16,5,2018,0,0,NA,0,NA,NA,0,0,0,0,0.015,0,NA,0,0,0,0,0.0075,0,0,0,0,0.315,0.01,NA,NA,NA,0,0.03,0,0,0,0,0.0025
4,12,12,16,5,2018,0,0,NA,0,NA,NA,0,0,0,0,0.0235,0,NA,0,0,0.011,0,0,0,0,0.065,0,0,0,NA,NA,NA,0,0,0,0,0,0,0
4,10,10,16,5,2018,0,0,NA,0,NA,NA,0,0,0,0.086,0.3,0,NA,0,0,0,0,0.005,0,0,0,0,0.01,0.03,NA,NA,NA,0,0,0,0,0,0,0.001
4,31,31,16,5,2018,0.155,0.16,NA,0.0035,NA,NA,0,0,0,0,0,0,NA,0.05,0,0,0.0475,0.001,0,0,0,0,0.025,0,NA,NA,NA,0,0.03,0,0,0,0,0.0385
4,27,27,16,5,2018,0,0,NA,0.005,NA,NA,0,0,0,0,0.05,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0.106,0,0,0,0.001,0
4,20,20,16,5,2018,0,0,NA,0,NA,NA,0,0,0,0,0.03,0,NA,0,0,0,0.0025,0,0,0,0,0.0225,0,0.155,NA,NA,NA,0,0.04,0,0,0,0,0.005
4,21,21,16,5,2018,0,0,NA,0,NA,NA,0,0,0,0,0.0075,0,NA,0,0,0,0.015,0.0025,0,0,0,0.02,0,0.45,NA,NA,NA,0,0.015,0,0,0.005,0,0.01
4,24,24,16,5,2018,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0.0245,0,0,0,0,0,0,0.09,NA,NA,NA,0,0.02,0,0,0,0,0.001
4,5,5,16,5,2018,0,0,NA,0,NA,NA,0,0,0,0.275,0.0575,0,NA,0,0,0,0,0.0875,0,0,0,0.025,0,0,NA,NA,NA,0,0,0,0,0,0,0
4,25,25,16,5,2018,0,0,NA,0,NA,NA,0,0,0,0,0.065,0,NA,0,0,0,0.2285,0,0,0,0,0,0.0035,0.68,NA,NA,NA,0.04,0,0,0,0,0.0025,0
6,22,22,15,5,2018,0,0,NA,0,NA,NA,0,0,0,0.225,0.28,0,NA,0,0,0,0,0.055,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0
6,12,12,15,5,2018,0,0,NA,0,NA,NA,0,0,0,0.0025,0.1795,0,NA,0,0,0.005,0,0,0,0,0,0,0,0,NA,NA,NA,0,0.0225,0.02,0,0,0.005,0
