x,year,species,treatment,mean_cover,deviation
1,2018,Bossiella,High,3.25,6.092096221
2,2018,Bossiella,Low,2.25,2.93257566
3,2018,C_vancourveriensis,High,1.666666667,3.892494721
4,2018,C_vancourveriensis,Low,2.875,3.556683849
5,2018,Encrusting_c,High,6.583333333,11.73540357
6,2018,Encrusting_c,Low,14.8125,17.00673886
7,2018,Encrusting_n_c,High,27.5,24.81751581
8,2018,Encrusting_n_c,Low,23.5625,32.60259448
9,2018,Microcladia,High,4.583333333,8.908201873
10,2018,Microcladia,Low,0.625,2.5
11,2018,Phyllospadix,High,2.083333333,7.216878365
12,2018,Phyllospadix,Low,8.125,22.94013949
13,2018,Polysiphonia,High,19,21.03676436
14,2018,Polysiphonia,Low,3.3125,6.332127078
15,2018,S_sessilis,High,14,20.85011445
16,2018,S_sessilis,Low,21.1875,29.95823482
17,1979,Bossiella,High,1.666666667,1.877181271
18,1979,Bossiella,Low,5.631578947,3.803660902
19,1979,C_vancourveriensis,High,5.333333333,5.912053869
20,1979,C_vancourveriensis,Low,5.421052632,4.004383563
21,1979,Encrusting_c,High,10.66666667,11.22285084
22,1979,Encrusting_c,Low,16.31578947,10.4936628
23,1979,Encrusting_n_c,High,29.06666667,21.69419497
24,1979,Encrusting_n_c,Low,22.26315789,25.96759114
25,1979,Microcladia,High,1.8,5.212622044
26,1979,Microcladia,Low,0.210526316,0.630603535
27,1979,Phyllospadix,High,0,0
28,1979,Phyllospadix,Low,0.368421053,1.211542924
29,1979,Polysiphonia,High,8.933333333,15.79541826
30,1979,Polysiphonia,Low,1.210526316,1.652571981
31,1979,S_sessilis,High,14.13333333,19.3791739
32,1979,S_sessilis,Low,19.73684211,16.36338088
