Transect,Quadrat,Distance_on_transect,Day_surveyed,Month_surveyed,Year_surveyed,Balanus_glandula,Semibalanus_cariosus,Cthamalus,cyprids,Cancer_productus,Hemigrapsus_nudus,other_Hemigrapsus,Lophopanopeus_bellus,Pagarus,Pugettia_gracilis,Heptocarpus,Idotea,other_isopods,Cryptochiton_stelleri,Katharina_tunicata,Mopalia,Tonicella,other_chiton,Amphisa,Bittium,Calliostoma_ligatum,Crepidula ,Littorina,Lirabuccinum_dirum,Lottia_digitalis,other_Lottia_and_Tectura,Margarites,Nucella_lamellosa,Nucella_ostrina,Anthopleura_elegantissima,Stronglyocentrotus_drobachiensis,Mytilus,Diodora_aspera,Diadumene_lineata,Epiactus ,Urticina_cassicornis,Cucumaria_miniata,Leptasterias_hexactis,Henricia,Strongylocentrotus_purpuratus,Strongylocentrotus_fransciscanus,Aeolidia_papillosa,Archidoris_montereyensis,Onchidoris,Rostanga_pulchara,Ophilitaspongia_pennata,Parenemertes_peregrina,Dendrobeania ,Styela_gibbsi,Arctonoe_vittata,Dodecaceria_fewkesi,Sabellidae,Serpullidae,Haliclona
4,17,17,16,5,2018,0,7,0,1904,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9,1,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,12,12,16,5,2018,28,96,25,0,0,0,4,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,125,11,27,43,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,10,10,16,5,2018,0,0,25,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,83,6,0,47,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,31,31,16,5,2018,0,2,0,54,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,27,27,16,5,2018,0,6,0,3950,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,77,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,20,20,16,5,2018,0,0,202,0,0,0,0,0,1,1,0,0,0,0,2,0,0,4,0,1,0,0,0,4,0,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,21,21,16,5,2018,1,5,317,0,0,0,0,2,1,3,0,0,2,0,3,0,1,0,0,0,1,0,5,1,1,37,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,24,24,16,5,2018,0,0,0,354,0,0,0,1,2,0,1,0,0,0,9,0,0,0,2,0,0,0,1,2,0,64,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5,5,16,5,2018,13,0,105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,25,25,16,5,2018,0,0,0,8,0,0,0,2,5,5,0,0,0,0,5,0,4,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,22,22,15,5,2018,3,0,112,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,12,12,15,5,2018,1692,222,1574,4081,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,25,147,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,18,18,15,5,2018,0,0,84,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,141,1,1,27,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,20,20,15,5,2018,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,38,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,16,16,15,5,2018,33,21,0,0,0,0,2,0,78,3,0,0,0,0,0,0,0,0,0,0,1,0,79,10,1,88,0,0,1,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,16,16,4,5,2018,2554,131,0,2051,0,0,0,0,58,0,1,0,0,0,2,0,0,0,3,0,2,0,172,19,8,62,0,1,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,25,25,4,5,2018,61,5,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,0,19,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,7,7,4,5,2018,4762,32,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,3,0,0,0,63,40,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
