"STATION","NAME","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USC00456096","OLGA 2 SE, WA US","1965","3","24","81","6117","49.2","56.9","41.5"
"USC00456096","OLGA 2 SE, WA US","1966","1","25","79","5544","49.7","57.3","42.1"
"USC00456096","OLGA 2 SE, WA US","1967","7","23","83","5583","49.8","57.6","42.0"
"USC00456096","OLGA 2 SE, WA US","1968","8","2","85","5368","49.4","57.1","41.8"
"USC00456096","OLGA 2 SE, WA US","1969","5","10","83","5995","49.0","56.4","41.6"
"USC00456096","OLGA 2 SE, WA US","1970","6","24","84","5565","49.1","56.8","41.4"
"USC00456096","OLGA 2 SE, WA US","1971","3","17","80","6086","48.3","55.2","41.4"
"USC00456096","OLGA 2 SE, WA US","1972","22","14","82","6099","48.2","55.2","41.1"
"USC00456096","OLGA 2 SE, WA US","1973","6","13","82","5928","49.1","56.4","41.8"
"USC00456096","OLGA 2 SE, WA US","1974","19","22","85","5821","49.6","56.6","42.7"
"USC00456096","OLGA 2 SE, WA US","1975","0","21","81","5801","48.8","55.6","42.0"
"USC00456096","OLGA 2 SE, WA US","1976","0","20","78","5723","49.6","57.0","42.2"
"USC00456096","OLGA 2 SE, WA US","1977","16","21","85","5316","49.9","57.9","42.0"
"USC00456096","OLGA 2 SE, WA US","1978","24","13","82","5157","50.7","58.0","43.4"
"USC00456096","OLGA 2 SE, WA US","1979","11","14","84","5493","50.8","58.1","43.4"
"USC00456096","OLGA 2 SE, WA US","1980","2","14","82","5038","50.3","57.2","43.5"
"USC00456096","OLGA 2 SE, WA US","1981",,,,"5024",,,
"USC00456096","OLGA 2 SE, WA US","1982","8","15","85",,"49.9","57.5","42.3"
"USC00456096","OLGA 2 SE, WA US","1983",,,"87","4665",,"58.4",
"USC00456096","OLGA 2 SE, WA US","1985","19","4","85","5389","48.5","56.2","40.9"
"USC00456096","OLGA 2 SE, WA US","1986",,"19",,,,,"43.1"
"USC00456096","OLGA 2 SE, WA US","1987","3","25","81","4985","51.4","59.6","43.3"
"USC00456096","OLGA 2 SE, WA US","1988","12","20","85","5114","50.4","57.8","42.9"
"USC00456096","OLGA 2 SE, WA US","1989",,,"82",,,"57.4",
"USC00456096","OLGA 2 SE, WA US","1991","11","24","80",,"50.5","57.4","43.6"
"USC00456096","OLGA 2 SE, WA US","1992",,,"80",,,"59.2",
"USC00456096","OLGA 2 SE, WA US","1993","9","18","80",,"50.4","57.5","43.3"
"USC00456096","OLGA 2 SE, WA US","1994","12","21","84","5109","51.3","58.7","43.9"
"USC00456096","OLGA 2 SE, WA US","1995","32","20","87","4799","51.8","59.3","44.3"
"USC00456096","OLGA 2 SE, WA US","1996","25","13","84","5260","49.2","56.8","41.6"
"USC00456096","OLGA 2 SE, WA US","1997","13","19","84","5598","50.9","58.8","42.9"
"USC00456096","OLGA 2 SE, WA US","1998","11","18","84","4920","51.1","59.1","43.1"
"USC00456096","OLGA 2 SE, WA US","1999","0","29","80","5241","50.3","58.4","42.3"
"USC00456096","OLGA 2 SE, WA US","2000",,,"79","5076",,"58.0",
"USC00456096","OLGA 2 SE, WA US","2001","6","27","83",,"50.1","58.1","42.2"
"USC00456096","OLGA 2 SE, WA US","2002","8","21","81","5542","50.3","58.5","42.0"
"USC00456096","OLGA 2 SE, WA US","2003",,,"85","4819",,"60.9",
"USC00456096","OLGA 2 SE, WA US","2005","38","20","82","4632","51.6","60.0","43.2"
"USC00456096","OLGA 2 SE, WA US","2006",,,"88","4860",,"59.6",
"USC00456096","OLGA 2 SE, WA US","2007","28","17","91",,"50.3","57.8","42.7"
"USC00456096","OLGA 2 SE, WA US","2008",,"14","83",,"48.2","55.6","40.9"
"USC00456096","OLGA 2 SE, WA US","2009","89","16","93","5710","49.7","57.9","41.5"
"USC00456096","OLGA 2 SE, WA US","2010","41","12","85","5130","51.4","58.7","44.0"
"USC00456096","OLGA 2 SE, WA US","2011","13","16","83","5465","49.6","57.0","42.2"
"USC00456096","OLGA 2 SE, WA US","2012","46","17","89","5531","50.4","58.2","42.5"
"USC00456096","OLGA 2 SE, WA US","2013",,,,"5452",,,
"USC00456096","OLGA 2 SE, WA US","2014","25","23","79",,"52.4","58.0","46.7"
"USC00456096","OLGA 2 SE, WA US","2015","109","27","89","4129","53.7","59.6","47.7"
