year,Date,Time,Dock_no,Covered_uncovered,Direction_R_L,Slip_no,Random_number,brown_fillamentous_algae,brown_leafy_algae, green_fillamentous_algae,red_fillamentous_algae,red_leafy_algae,encrusting_coralline_red_algae,Ulva_sp,diatoms,Serpulidae,Sabellidae,Pandalus_danae,Metridium_farcimen,Scyphistoma,Bulgula_californica,Dendrobeania_lichenoides,Neoeperiopsis,Halichondria,Mytilus_sp,Heptacarpus_sp,Hydroid_purple,Panares_corius,Pododesmus_macroschisma,Balanus_glandula,Chlamys_hastata,Yellow_finger_tunicate,Botryollus_schlosseri,Halocynthia_aurantium,Hemigrapsus_nudus,Fish_larvae,Sculpin_sp,Unknown_fish_sp,styrofoam_bare,Black_styrofoam_cover,Katharina tunicata ,Myxilla_lacunosa,Pyura_haustor,Scyon_scypha,Suberites_sp,Haliclona_sp
2018,05.15.18,1900-1930,1,uncovered,R,1,2/185,0,0,20,20,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0.5,0,0
2018,5.15.18,1900-1930,1,uncovered,R,1,27/185,0,0,16,17,0,0,0.05,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
2018,5.15.18,1935-1940,1,uncovered,R,1,200/250,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0
2018,5.15.18,1934-1940,1,uncovered,R,1,225/250,0,0,5,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1,0,0,0,0,0,0
2018,5.17.18,1450-1500,1,covered,R,2,137/280,0,0,0,0,0,0,0,0,0,5,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
2018,5.17.18,1450-1500,1,covered,R,2,162/280,0,0,0,0,0,0,0,0,10,5,0,0,50,70,30,0,0,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2018,5.17.18,1500-1510,1,covered,R,3,120/275,0,0,0,0,0,0,0,0,10,0,0,15,20,60,0,0,0,5,0,0,0,0,10,2,0,0,0,0,0,0,0.5,45,0,0,0,0,0,0,0
2018,5.17.18,1500-1510,1,covered,R,3,145/275,0,0,0,0,0,0,0,0,3,0,2,10,30,10,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,20,25,0,0,0,0,0,0,0
2018,5.17.18,1513-1528,1,covered,R,4,65/184,0,0,0,0,0,0,0,0,9,6,0,0,0,97,2,0,0,80,0,0,0,20,18,0,0,1,2,0,0,0.5,0,5,0,0.5,0,0,0,0,0
2018,5.17.18,1513-1528,1,covered,R,4,90/184,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,15,0,0,0,15,10,2,10,0,0,0,0,1,0,20,5,0,0,0,0,0,0
2018,5.15.18,1925-2005,1,covered,L,2,48/180,0,0,0,0,0,0,0,0,0,0,1,0,0,80,15,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
2018,5.15.18,1925-2005,1,covered,L,2,73/180,0,0,0,0,0,0,0,0,1,0,0,0,0,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,50,0,0,0,0
2018,5.16.18,1315-1324,1,covered,L,3,178/180,0,0,0.5,0.5,0,0,0,0,0,0.5,2,50,5,60,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,5.16.18,1325-1340,1,covered,L,3,153/180,0,0,0,0,0,0,0.5,0,0,1,0,10,2,25,20,0,80,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,5.17.18,1530-1535,1,covered,L,4,180/205,0,0,0,0,0,0,0,0,0,0,0,0,0,25,15,10,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2018,5.17.18,1545-1552,2,covered,R,1,221/255,0,0,0,0,0,0,0,0,2,2,4,0,0,65,13,0,15,0,0,0,0,0,1,0,0,20,5,0,0,0,0,5,0,0,0,0,0,0,0
2018,5.17.18,1555-1606,2,covered,R,2,101/245,0,0,0,0,0,0,0,0,10,4,5,0,0,70,50,0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,5,0,0,0,5,0,0,0,0
2018,5.16.18,13551400,2,covered,R,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,50,20,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0
2018,5.16.18,1405-1412,2,covered,R,4,,0,0,0,0,0,0,0,0,0,0,0,0,5,64,50,15,0,0,0,5,0,0,0,0,0,0,0,0,1,0,2,10,0,0,0,0,0,0,0
2018,5.16.18,1413-1416,2,covered,R,4,,0,0,0,0,0,0,0,5,0,0,0,0,0,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,50,0,0,0,0
2018,5.18.18,940-947,2,covered,R,5,112/125,0,0,0,0,0,0,0,0,0,1,5,2,0,60,10,0.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,30,0,0,0,0
2018,5.18.18,950-1000,2,covered,R,6,82/240,0,0,0,0,0,0,0,0,0,0,4,0,1,15,15,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,15,0,0,55,0,0,0,0
2008,7.30.08,0955-1000,1,covered,L,2,98,0,0,0,0,0,0,0,0,0,0,0,0,2,16,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,14
2008,7.30.08,0955-1000,1,covered,L,3,47,0,0,0,0,0,0,0,0,0,0,0,2,1,15,60,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.5,0,0
2008,7.30.08,0955-1000,2,uncovered,R,9,87,0,0,0,0,0,0,0,0,0,0,0,0,4,50,20,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
