Taxon,Covered/uncovered,2008,2018,1974
Bugula californica,covered,7.75,46.72222222,1
Bugula californica,uncovered,12.75,0,0
Dendrobeania lichenoides,covered,28.25,14.55555556,1
Dendrobeania lichenoides,uncovered,21.75,0,0
styrofoam bare,covered,6.5,10.41666667,1
styrofoam bare,uncovered,2,54.5,0
Balanus glandula,covered,0,4.111111111,0
Balanus glandula,uncovered,0,0,0
Black styrofoam cover,covered,0,0.277777778,0
Black styrofoam cover,uncovered,0,7.75,0
Botryollus schlosseri,covered,0,2.277777778,0
Botryollus schlosseri,uncovered,0,0,0
brown fillamentous algae,covered,0,0,0
brown fillamentous algae,uncovered,5,0,1
brown leafy algae,covered,2,0,0
brown leafy algae,uncovered,2,0,1
Chlamys hastata,covered,0,0.222222222,0
Chlamys hastata,uncovered,0,0,0
diatoms diatoms,covered,12,0.277777778,1
diatoms diatoms,uncovered,32.5,6.75,0
encrusting coralline red algae,covered,1,0,0
encrusting coralline red algae,uncovered,0,0,0
Fish larvae,covered,0,0.055555556,0
Fish larvae,uncovered,0,0,0
green fillamentous algae,covered,11.5,0.027777778,0
green fillamentous algae,uncovered,9.25,10.25,0
Halichondria Halichondria,covered,6.375,14.44444444,0
Halichondria Halichondria,uncovered,15.5,0,0
Haliclona sp,covered,3.5,0,0
Haliclona sp,uncovered,0.25,0,0
Halocynthia aurantium,covered,0,0.666666667,0
Halocynthia aurantium,uncovered,0,0,0
Hemigrapsus nudus,covered,0,0.055555556,0
Hemigrapsus nudus,uncovered,0,0,0
Heptacarpus sp,covered,0,0.027777778,1
Heptacarpus sp,uncovered,0,0,0
Hydroid purple,covered,0,0.555555556,1
Hydroid purple,uncovered,0,3.5,0
Katharina tunicata,covered,0,0.027777778,0
Katharina tunicata,uncovered,0,0,0
Metridium farcimen,covered,0.5,4.833333333,1
Metridium farcimen,uncovered,0,0,1
Mytilus sp,covered,0,5.833333333,1
Mytilus sp,uncovered,0,0,0
Myxilla lacunosa,covered,0,10.55555556,0
Myxilla lacunosa,uncovered,0,0,0
Neoeperiopsis Neoeperiopsis,covered,0,3.694444444,0
Neoeperiopsis Neoeperiopsis,uncovered,2.5,0,0
Panares corius,covered,0,0,0
Panares corius,uncovered,0,1.25,0
Pandalus danae,covered,0,1.277777778,0
Pandalus danae,uncovered,0,0.5,0
Pododesmus macroschisma,covered,0,1.944444444,1
Pododesmus macroschisma,uncovered,0,0,0
Pyura haustor,covered,0,0,1
Pyura haustor,uncovered,0.25,0,0
red fillamentous algae,covered,5,0.027777778,0
red fillamentous algae,uncovered,10,9.25,0
red leafy algae,covered,1,0,0
red leafy algae,uncovered,0,0,0
Sabellidae Sabellidae,covered,0,1.361111111,1
Sabellidae Sabellidae,uncovered,0.5,1.75,0
Sculpin sp,covered,0,0.083333333,0
Sculpin sp,uncovered,0,0,0
Scyon scypha,covered,0.125,0,1
Scyon scypha,uncovered,0,0.125,0
Scyphistoma Scyphistoma,covered,1.75,9.611111111,0
Scyphistoma Scyphistoma,uncovered,1,0,0
Serpulidae Serpulidae,covered,0,2.777777778,0
Serpulidae Serpulidae,uncovered,0,0.25,0
Suberites sp,covered,0,0,0
Suberites sp,uncovered,1.25,0,0
Ulva sp,covered,0,0.027777778,0
Ulva sp,uncovered,0,0.0125,1
Unknown fish sp,covered,0,1.833333333,0
Unknown fish sp,uncovered,0,0,0
Yellow finger tunicate,covered,0,2.055555556,0
Yellow finger tunicate,uncovered,0,0,0
Chelyoasoma productum,covered,0,0,1
Chelyoasoma productum,uncovered,0,0,0
